target_file,commons_file,author,license,license_url,source_page,size_bytes,size_kb
package_rhino_main.jpg,Rhino at Jaldapara.jpg,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Rupaks&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Rupaks (page does not exist)"">Rupak Sarkar</a>",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Rhino_at_Jaldapara.jpg,291398,284.6
package_rhino_gallery1.jpg,Elephant safari at Jaldapara.jpg,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Nbera&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Nbera (page does not exist)"">Nirjhar bera</a>",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Elephant_safari_at_Jaldapara.jpg,288595,281.8
package_buxa_gallery2.jpg,BUXA TIGER RESERVE.jpg,"<a href=""//commons.wikimedia.org/wiki/User:AURAB"" title=""User:AURAB"">AURAB</a>",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:BUXA_TIGER_RESERVE.jpg,170217,166.2
